epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5703.32,0.50992,0.47829,0.86672,0.8761,0.93823,0.97216,0.88601,0.45422,0.38267,0.83917,0.008614,0.008614,0.008614
44,5833.74,0.50439,0.46647,0.86533,0.91045,0.92766,0.97239,0.88652,0.45205,0.37186,0.84018,0.008581,0.008581,0.008581
45,5959.97,0.50136,0.45852,0.86224,0.93521,0.90114,0.97406,0.88996,0.45349,0.35973,0.83967,0.008548,0.008548,0.008548
46,6089.64,0.5023,0.46758,0.8663,0.90887,0.91824,0.9745,0.88833,0.45402,0.37194,0.84054,0.008515,0.008515,0.008515
47,6229.32,0.49075,0.45116,0.86064,0.9081,0.92511,0.97507,0.88962,0.44306,0.35622,0.83612,0.008482,0.008482,0.008482
48,6363.12,0.49456,0.45318,0.86467,0.91156,0.90999,0.96653,0.87995,0.46129,0.37985,0.84154,0.008449,0.008449,0.008449
49,6493.06,0.49292,0.44879,0.86032,0.90157,0.92732,0.96805,0.88491,0.44763,0.36654,0.84134,0.008416,0.008416,0.008416
50,6625.03,0.4837,0.4389,0.85984,0.92191,0.91445,0.97169,0.88711,0.45347,0.35489,0.83928,0.008383,0.008383,0.008383
51,6752.43,0.48713,0.44281,0.8588,0.92524,0.9239,0.97546,0.89292,0.43941,0.34273,0.83808,0.00835,0.00835,0.00835
52,6891.44,0.48411,0.4463,0.86021,0.93023,0.92605,0.97614,0.89504,0.43731,0.34756,0.83676,0.008317,0.008317,0.008317
53,7032.83,0.48,0.43991,0.85627,0.93202,0.91903,0.9779,0.89975,0.43159,0.33681,0.83383,0.008284,0.008284,0.008284
54,7164.5,0.47393,0.43244,0.85487,0.92766,0.91739,0.9759,0.89579,0.43615,0.34446,0.836,0.008251,0.008251,0.008251
55,7295.7,0.47417,0.42147,0.85698,0.92667,0.92403,0.97625,0.89655,0.43412,0.34007,0.83388,0.008218,0.008218,0.008218
56,7421.77,0.47682,0.43163,0.85794,0.91544,0.93193,0.97097,0.8904,0.43229,0.34755,0.83625,0.008185,0.008185,0.008185
57,7552.6,0.47094,0.42038,0.85443,0.92316,0.93488,0.97785,0.89687,0.43874,0.34486,0.83572,0.008152,0.008152,0.008152
