epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3245.1,0.4752,0.3544,0.85123,0.90737,0.9537,0.98387,0.88455,0.42692,0.29028,0.8425,0.008614,0.008614,0.008614
44,3322.78,0.47353,0.35111,0.85165,0.90241,0.95539,0.98513,0.88796,0.42751,0.29209,0.84339,0.008581,0.008581,0.008581
45,3411.43,0.47107,0.34763,0.8489,0.91324,0.96083,0.98564,0.89366,0.42813,0.28373,0.84087,0.008548,0.008548,0.008548
46,3484.98,0.46778,0.34785,0.84857,0.92933,0.91997,0.98538,0.89272,0.42013,0.2861,0.84296,0.008515,0.008515,0.008515
47,3564.77,0.45968,0.33961,0.84765,0.95895,0.95605,0.98586,0.8925,0.42364,0.27999,0.84339,0.008482,0.008482,0.008482
48,3665.75,0.45935,0.34226,0.84586,0.90685,0.92965,0.97704,0.89336,0.41382,0.27865,0.83845,0.008449,0.008449,0.008449
49,3760.11,0.45773,0.33507,0.84392,0.94596,0.94338,0.98657,0.90724,0.40531,0.28244,0.83905,0.008416,0.008416,0.008416
50,3878.57,0.45638,0.33697,0.84537,0.95462,0.94399,0.98445,0.89772,0.40346,0.28249,0.83774,0.008383,0.008383,0.008383
51,4020.95,0.456,0.33358,0.84327,0.96919,0.94244,0.98579,0.89348,0.40269,0.27982,0.83709,0.00835,0.00835,0.00835
52,4186.15,0.44724,0.32962,0.84217,0.90649,0.92736,0.98581,0.90799,0.40346,0.27267,0.83682,0.008317,0.008317,0.008317
53,4342.18,0.44855,0.33276,0.84275,0.941,0.95802,0.98663,0.89781,0.41105,0.27771,0.8394,0.008284,0.008284,0.008284
54,4517.88,0.44422,0.32912,0.84244,0.88325,0.97376,0.98668,0.89272,0.41053,0.28106,0.83719,0.008251,0.008251,0.008251
55,4723.07,0.44408,0.32708,0.84098,0.9297,0.95593,0.98683,0.90567,0.40187,0.26821,0.83524,0.008218,0.008218,0.008218
56,4980.17,0.43961,0.32212,0.83972,0.95794,0.93417,0.98467,0.90657,0.39917,0.26871,0.83739,0.008185,0.008185,0.008185
57,5284.55,0.4337,0.3181,0.83916,0.9507,0.93707,0.97912,0.8966,0.40022,0.2668,0.83744,0.008152,0.008152,0.008152
58,5614.09,0.4328,0.31504,0.83832,0.96597,0.9299,0.98028,0.90579,0.39658,0.26717,0.83315,0.008119,0.008119,0.008119
59,5944.42,0.43244,0.3166,0.8378,0.96196,0.95514,0.98741,0.90886,0.393,0.26486,0.83179,0.008086,0.008086,0.008086
60,6308.8,0.43207,0.31686,0.84126,0.95156,0.94818,0.98215,0.91582,0.38787,0.25915,0.83076,0.008053,0.008053,0.008053
61,6686.07,0.43369,0.3173,0.84024,0.93739,0.95537,0.98006,0.89529,0.3905,0.25913,0.83496,0.00802,0.00802,0.00802
62,7072.07,0.42688,0.31101,0.83778,0.955,0.94226,0.98692,0.90009,0.38423,0.26068,0.83231,0.007987,0.007987,0.007987
63,7478.87,0.42388,0.30707,0.83516,0.96116,0.94343,0.98815,0.89833,0.38714,0.25832,0.83203,0.007954,0.007954,0.007954
64,7886.82,0.41962,0.30513,0.83545,0.93293,0.97189,0.98213,0.90579,0.37665,0.2554,0.83038,0.007921,0.007921,0.007921
65,8388.03,0.42203,0.30711,0.83885,0.96668,0.95862,0.98719,0.9176,0.37992,0.25257,0.83299,0.007888,0.007888,0.007888
66,8853.21,0.41764,0.30122,0.83523,0.95372,0.95772,0.98865,0.92454,0.37422,0.24956,0.8266,0.007855,0.007855,0.007855
67,9313.54,0.41401,0.30093,0.83299,0.95716,0.95015,0.98694,0.91584,0.37688,0.25076,0.83071,0.007822,0.007822,0.007822
68,9757.46,0.41452,0.30189,0.83631,0.95735,0.95439,0.98783,0.91361,0.37206,0.25017,0.83205,0.007789,0.007789,0.007789
69,10237.1,0.41477,0.30177,0.83316,0.95732,0.95701,0.98797,0.92128,0.37847,0.2473,0.82916,0.007756,0.007756,0.007756
70,10748,0.40891,0.29603,0.83236,0.95591,0.96955,0.98724,0.92087,0.37574,0.24895,0.82968,0.007723,0.007723,0.007723
71,11263.1,0.41258,0.29831,0.83344,0.95454,0.94796,0.97999,0.9081,0.37452,0.2455,0.82945,0.00769,0.00769,0.00769
72,11805.3,0.40935,0.29525,0.83255,0.94906,0.96377,0.98855,0.92272,0.37326,0.24508,0.82969,0.007657,0.007657,0.007657
73,12364.7,0.4066,0.29198,0.83174,0.96984,0.93263,0.98362,0.92632,0.36883,0.24356,0.82786,0.007624,0.007624,0.007624
74,12988.6,0.40719,0.29159,0.83223,0.97348,0.94448,0.98893,0.91785,0.36718,0.244,0.82673,0.007591,0.007591,0.007591
75,13556.8,0.40241,0.29055,0.8294,0.95345,0.95284,0.98962,0.9228,0.37113,0.24363,0.82653,0.007558,0.007558,0.007558
76,14098.2,0.39824,0.28978,0.83163,0.88715,0.98171,0.98849,0.9259,0.36895,0.24304,0.82839,0.007525,0.007525,0.007525
77,14680.5,0.39714,0.28676,0.82925,0.96108,0.96403,0.99053,0.9189,0.36698,0.2401,0.82598,0.007492,0.007492,0.007492
78,15279.8,0.39724,0.28898,0.82883,0.97131,0.94426,0.98993,0.92897,0.36524,0.23794,0.82647,0.007459,0.007459,0.007459
79,15858.5,0.39698,0.28507,0.82914,0.95481,0.95057,0.99009,0.92894,0.36122,0.24098,0.82481,0.007426,0.007426,0.007426
80,16399,0.3942,0.28398,0.82715,0.9671,0.95639,0.99049,0.93036,0.35623,0.23308,0.8234,0.007393,0.007393,0.007393
81,16954.4,0.39644,0.2819,0.83041,0.962,0.93689,0.98753,0.92794,0.35992,0.24177,0.82573,0.00736,0.00736,0.00736
82,17516.8,0.39151,0.28094,0.82984,0.96608,0.96039,0.98914,0.9394,0.3547,0.23982,0.82547,0.007327,0.007327,0.007327
83,18051.2,0.39122,0.28231,0.82945,0.95386,0.96124,0.99001,0.93302,0.35838,0.23678,0.82683,0.007294,0.007294,0.007294
84,18599.9,0.39239,0.28225,0.82509,0.95629,0.94599,0.98501,0.92987,0.35562,0.23657,0.82234,0.007261,0.007261,0.007261
85,19134.6,0.39069,0.27817,0.82835,0.94869,0.9565,0.98893,0.93161,0.35461,0.23795,0.8237,0.007228,0.007228,0.007228
86,19709,0.38706,0.27726,0.82751,0.96498,0.95634,0.99008,0.92386,0.35713,0.23512,0.82688,0.007195,0.007195,0.007195
87,20262.9,0.38614,0.2773,0.82721,0.95504,0.94867,0.98911,0.91934,0.35813,0.23497,0.82692,0.007162,0.007162,0.007162
88,20871,0.38219,0.27309,0.82555,0.94906,0.95257,0.98941,0.92968,0.35802,0.23765,0.82384,0.007129,0.007129,0.007129
89,21444.3,0.38318,0.27658,0.82611,0.95263,0.96356,0.99001,0.92785,0.35713,0.23447,0.82643,0.007096,0.007096,0.007096
90,21977.7,0.37957,0.27362,0.82485,0.94624,0.96093,0.98954,0.93779,0.35578,0.23572,0.82454,0.007063,0.007063,0.007063
91,22527.1,0.38157,0.2713,0.8255,0.96528,0.94911,0.98921,0.93854,0.35324,0.23647,0.82301,0.00703,0.00703,0.00703
92,23070.2,0.38035,0.27186,0.82463,0.95357,0.95151,0.98941,0.9343,0.35332,0.23589,0.82485,0.006997,0.006997,0.006997
93,23636.6,0.37414,0.26653,0.82496,0.95644,0.96408,0.98861,0.93418,0.35016,0.2346,0.82219,0.006964,0.006964,0.006964
94,24202,0.37532,0.26796,0.8237,0.95736,0.96277,0.98882,0.92546,0.34875,0.23289,0.82282,0.006931,0.006931,0.006931
95,24798.7,0.37442,0.26423,0.82434,0.96111,0.95978,0.98983,0.93332,0.35065,0.22871,0.82453,0.006898,0.006898,0.006898
96,25348.4,0.37389,0.26615,0.82387,0.9531,0.96926,0.99013,0.93666,0.34497,0.22787,0.82221,0.006865,0.006865,0.006865
97,25898.7,0.37361,0.26599,0.8245,0.96073,0.96205,0.99048,0.93735,0.34561,0.2301,0.82119,0.006832,0.006832,0.006832
98,26432.8,0.37587,0.27034,0.82307,0.9518,0.96563,0.99109,0.93245,0.34579,0.23028,0.82156,0.006799,0.006799,0.006799
99,27007.7,0.36489,0.25958,0.82158,0.95065,0.96454,0.9907,0.93755,0.34256,0.22769,0.82126,0.006766,0.006766,0.006766
100,27579.2,0.36732,0.26132,0.8217,0.95782,0.95208,0.99033,0.94008,0.34433,0.22765,0.82099,0.006733,0.006733,0.006733
101,28159,0.37013,0.26235,0.82196,0.95583,0.9623,0.98898,0.93671,0.34039,0.22253,0.82188,0.0067,0.0067,0.0067
102,28699.4,0.36625,0.25898,0.82059,0.95954,0.96604,0.98829,0.93474,0.33911,0.22361,0.82085,0.006667,0.006667,0.006667
103,29293.6,0.36578,0.25942,0.82045,0.96407,0.95654,0.99038,0.94068,0.34195,0.22484,0.82381,0.006634,0.006634,0.006634
104,29834.6,0.36371,0.25797,0.82208,0.96338,0.96096,0.99062,0.94121,0.34279,0.2217,0.82303,0.006601,0.006601,0.006601
105,30463.5,0.35984,0.2537,0.8187,0.95605,0.96887,0.99062,0.94604,0.33875,0.22243,0.82072,0.006568,0.006568,0.006568
106,31056.2,0.36109,0.25839,0.81953,0.97258,0.95023,0.98909,0.94127,0.33331,0.22552,0.81788,0.006535,0.006535,0.006535
107,31602.8,0.35629,0.25325,0.81718,0.95571,0.96744,0.98883,0.93623,0.3374,0.22295,0.81858,0.006502,0.006502,0.006502
108,31950.9,0.36096,0.25576,0.82073,0.95026,0.9684,0.98972,0.93894,0.33583,0.22405,0.82045,0.006469,0.006469,0.006469
109,32353.8,0.35923,0.25671,0.819,0.95096,0.95855,0.98697,0.93336,0.34092,0.22382,0.82237,0.006436,0.006436,0.006436
110,32760,0.35658,0.25326,0.81935,0.94964,0.95903,0.98737,0.93766,0.33716,0.22505,0.82185,0.006403,0.006403,0.006403
111,33128.4,0.35849,0.25187,0.82011,0.95099,0.95973,0.99046,0.9371,0.34096,0.22387,0.82306,0.00637,0.00637,0.00637
112,33516.8,0.36177,0.25515,0.82086,0.95295,0.96879,0.98996,0.93611,0.33733,0.22134,0.82053,0.006337,0.006337,0.006337
113,33870.1,0.35544,0.25341,0.82199,0.95414,0.96737,0.98477,0.93214,0.33261,0.22027,0.8183,0.006304,0.006304,0.006304
114,34225.5,0.35085,0.24974,0.81915,0.95585,0.96405,0.98163,0.93104,0.33367,0.22374,0.82058,0.006271,0.006271,0.006271
115,34507.8,0.35109,0.24692,0.81773,0.95695,0.96524,0.98679,0.93592,0.33505,0.22396,0.8227,0.006238,0.006238,0.006238
116,34803,0.34882,0.24732,0.81771,0.95467,0.95861,0.9899,0.94159,0.33428,0.22362,0.82046,0.006205,0.006205,0.006205
117,35059.1,0.34897,0.24989,0.81759,0.95402,0.96518,0.99013,0.9395,0.33684,0.22329,0.8235,0.006172,0.006172,0.006172
118,35284.9,0.3493,0.24771,0.81716,0.95214,0.96619,0.99002,0.93953,0.33668,0.21787,0.82203,0.006139,0.006139,0.006139
119,35474.5,0.35064,0.24839,0.81845,0.95628,0.96693,0.99022,0.94618,0.33044,0.21847,0.82062,0.006106,0.006106,0.006106
120,35666.7,0.34577,0.24339,0.81631,0.95807,0.96398,0.98768,0.93984,0.32354,0.21466,0.81779,0.006073,0.006073,0.006073
121,35853.1,0.34405,0.24123,0.81408,0.95343,0.96658,0.98012,0.93528,0.32336,0.21736,0.81743,0.00604,0.00604,0.00604
122,36030.4,0.34603,0.24326,0.81484,0.95681,0.96851,0.98788,0.93861,0.32831,0.21873,0.81922,0.006007,0.006007,0.006007
123,36226.3,0.34289,0.242,0.81496,0.96049,0.96587,0.98743,0.94214,0.32971,0.2186,0.81914,0.005974,0.005974,0.005974
124,36411.4,0.34339,0.24147,0.81563,0.97237,0.96151,0.98982,0.94131,0.32958,0.21744,0.82051,0.005941,0.005941,0.005941
125,36584.9,0.34025,0.24163,0.81529,0.97296,0.96422,0.99061,0.94221,0.32657,0.21499,0.82088,0.005908,0.005908,0.005908
126,36772.1,0.34114,0.24175,0.81412,0.96819,0.97038,0.99061,0.94142,0.32575,0.21691,0.82068,0.005875,0.005875,0.005875
127,36953.4,0.33749,0.23792,0.81276,0.97071,0.96631,0.99087,0.94089,0.33127,0.21408,0.82433,0.005842,0.005842,0.005842
128,37141.1,0.33916,0.24213,0.81575,0.9596,0.96649,0.99103,0.93802,0.32889,0.21708,0.8235,0.005809,0.005809,0.005809
129,37328.3,0.33828,0.24065,0.81346,0.95899,0.96763,0.99101,0.93444,0.32853,0.21654,0.82166,0.005776,0.005776,0.005776
130,37509.3,0.33858,0.23626,0.81443,0.96108,0.96696,0.99103,0.94449,0.32413,0.21528,0.82097,0.005743,0.005743,0.005743
131,37665,0.33567,0.23804,0.81471,0.95691,0.96742,0.99075,0.94547,0.32326,0.21283,0.81837,0.00571,0.00571,0.00571
132,37833.6,0.33594,0.23549,0.81208,0.95544,0.97092,0.98794,0.94239,0.32361,0.21358,0.8201,0.005677,0.005677,0.005677
133,38006.4,0.33395,0.23328,0.81311,0.96419,0.96449,0.99073,0.94671,0.32143,0.21241,0.81933,0.005644,0.005644,0.005644
134,38177.4,0.33226,0.23268,0.81315,0.96139,0.96583,0.99009,0.94558,0.3219,0.2138,0.82074,0.005611,0.005611,0.005611
135,38342.6,0.33399,0.23065,0.81375,0.96424,0.96782,0.99107,0.94115,0.32072,0.21084,0.82168,0.005578,0.005578,0.005578
