epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3693.04,0.59842,0.5031,0.87314,0.88037,0.91817,0.96588,0.82905,0.5125,0.40617,0.85048,0.008614,0.008614,0.008614
44,3755.89,0.59723,0.50326,0.87413,0.84412,0.92844,0.95778,0.80788,0.50885,0.38695,0.84779,0.008581,0.008581,0.008581
45,3825.3,0.59713,0.50286,0.87163,0.9302,0.88373,0.95948,0.82671,0.5048,0.38774,0.84798,0.008548,0.008548,0.008548
46,3897.38,0.59392,0.49325,0.871,0.92174,0.89858,0.95431,0.8114,0.51408,0.39152,0.85157,0.008515,0.008515,0.008515
47,3962.7,0.58304,0.4836,0.86969,0.91627,0.86446,0.95427,0.81909,0.50791,0.38433,0.85014,0.008482,0.008482,0.008482
48,4023.52,0.58666,0.48136,0.87036,0.90479,0.91636,0.95739,0.81698,0.50514,0.38153,0.85009,0.008449,0.008449,0.008449
49,4082.3,0.58498,0.48177,0.86722,0.88667,0.90881,0.94574,0.82885,0.49434,0.37817,0.84555,0.008416,0.008416,0.008416
50,4152.27,0.58295,0.4858,0.86836,0.91059,0.89436,0.96377,0.82123,0.49711,0.36857,0.84326,0.008383,0.008383,0.008383
51,4221.36,0.58151,0.4752,0.86663,0.89665,0.89644,0.95195,0.81368,0.49296,0.3651,0.84474,0.00835,0.00835,0.00835
52,4284.82,0.57239,0.46808,0.86251,0.89929,0.91484,0.95677,0.84011,0.48966,0.36932,0.84293,0.008317,0.008317,0.008317
53,4348.34,0.57514,0.47265,0.86533,0.92469,0.90867,0.95895,0.82868,0.49206,0.36372,0.84198,0.008284,0.008284,0.008284
54,4412.76,0.56989,0.4684,0.86447,0.89554,0.91281,0.95935,0.82386,0.48801,0.37237,0.84077,0.008251,0.008251,0.008251
55,4483.89,0.57315,0.46918,0.86352,0.88972,0.88048,0.94532,0.80788,0.49091,0.37482,0.84421,0.008218,0.008218,0.008218
56,4553.7,0.5644,0.45997,0.86335,0.91195,0.90768,0.97076,0.85831,0.48398,0.35881,0.84136,0.008185,0.008185,0.008185
57,4611.12,0.5618,0.45167,0.86151,0.92967,0.91586,0.9605,0.84538,0.48212,0.35699,0.84152,0.008152,0.008152,0.008152
58,4668.34,0.56021,0.45447,0.86138,0.91078,0.93476,0.97454,0.84508,0.48278,0.35309,0.8396,0.008119,0.008119,0.008119
59,4732.23,0.55742,0.45241,0.86038,0.92746,0.89897,0.95986,0.83653,0.47829,0.35515,0.83892,0.008086,0.008086,0.008086
60,4803.54,0.55565,0.45406,0.86104,0.9231,0.90371,0.96881,0.86341,0.47864,0.34844,0.83714,0.008053,0.008053,0.008053
61,4871.43,0.56453,0.45552,0.8626,0.90633,0.89338,0.95632,0.84018,0.47637,0.34996,0.83765,0.00802,0.00802,0.00802
62,4937.98,0.55368,0.44287,0.86001,0.89834,0.89786,0.95349,0.85282,0.47102,0.35072,0.83903,0.007987,0.007987,0.007987
63,5015.56,0.55092,0.44249,0.85787,0.93669,0.91158,0.96346,0.85292,0.47134,0.34417,0.83661,0.007954,0.007954,0.007954
64,5087.89,0.54676,0.44063,0.85615,0.90695,0.90866,0.9578,0.84149,0.46902,0.34859,0.8364,0.007921,0.007921,0.007921
65,5154.86,0.55128,0.44029,0.86025,0.92166,0.9075,0.96587,0.85864,0.47039,0.34446,0.83652,0.007888,0.007888,0.007888
66,5216.84,0.54515,0.44071,0.85879,0.92863,0.91274,0.96435,0.84803,0.47346,0.34513,0.83932,0.007855,0.007855,0.007855
67,5278.34,0.5433,0.43406,0.85646,0.88343,0.92025,0.95587,0.84345,0.47136,0.33965,0.83768,0.007822,0.007822,0.007822
68,5347.4,0.54368,0.4338,0.85765,0.93341,0.90064,0.96204,0.851,0.46149,0.33649,0.83515,0.007789,0.007789,0.007789
69,5416.92,0.54668,0.43663,0.85743,0.93958,0.91789,0.95796,0.84646,0.46144,0.33724,0.83548,0.007756,0.007756,0.007756
70,5481.92,0.53853,0.42935,0.85493,0.94568,0.91828,0.96175,0.86095,0.46041,0.33694,0.83534,0.007723,0.007723,0.007723
71,5545.18,0.54288,0.43296,0.8575,0.92341,0.94135,0.9788,0.87723,0.45811,0.33386,0.83441,0.00769,0.00769,0.00769
72,5617.55,0.53931,0.42655,0.85515,0.9086,0.9344,0.96788,0.86256,0.46817,0.33898,0.83837,0.007657,0.007657,0.007657
73,5691.94,0.53523,0.42554,0.8542,0.90991,0.89288,0.96239,0.86068,0.45681,0.33549,0.83353,0.007624,0.007624,0.007624
74,5754.85,0.53656,0.42279,0.85505,0.94755,0.91073,0.96219,0.85002,0.4608,0.33443,0.83586,0.007591,0.007591,0.007591
75,5817.82,0.53023,0.42218,0.85305,0.89087,0.94202,0.97781,0.87291,0.46277,0.33423,0.83545,0.007558,0.007558,0.007558
76,5885.18,0.53039,0.41596,0.85433,0.9272,0.93651,0.97862,0.87633,0.45432,0.32081,0.83359,0.007525,0.007525,0.007525
77,5957.57,0.52613,0.41409,0.85214,0.93854,0.91466,0.96921,0.86557,0.45165,0.32294,0.83369,0.007492,0.007492,0.007492
78,6021.23,0.52945,0.41934,0.8527,0.9382,0.91483,0.96511,0.869,0.44898,0.32396,0.83308,0.007459,0.007459,0.007459
79,6083.68,0.52523,0.4101,0.85188,0.88105,0.91722,0.96345,0.86382,0.4481,0.327,0.83138,0.007426,0.007426,0.007426
80,6151.34,0.52144,0.4107,0.85018,0.90998,0.92645,0.96605,0.87242,0.44246,0.31589,0.82926,0.007393,0.007393,0.007393
81,6224.09,0.52227,0.40647,0.85201,0.91613,0.93427,0.97986,0.8739,0.44554,0.31539,0.83107,0.00736,0.00736,0.00736
82,6287.5,0.52063,0.40791,0.85275,0.93886,0.89312,0.96082,0.86424,0.4457,0.31863,0.83085,0.007327,0.007327,0.007327
83,6349.98,0.52082,0.40747,0.85208,0.9366,0.9208,0.973,0.87088,0.44453,0.31689,0.83102,0.007294,0.007294,0.007294
84,6416.25,0.52021,0.40731,0.84782,0.94602,0.92144,0.96762,0.87807,0.43777,0.31461,0.82829,0.007261,0.007261,0.007261
85,6484.6,0.51567,0.40299,0.84925,0.94327,0.91805,0.96499,0.85813,0.44265,0.32207,0.8309,0.007228,0.007228,0.007228
86,6543.15,0.51544,0.40193,0.84936,0.93327,0.92487,0.96204,0.85864,0.44036,0.31786,0.83074,0.007195,0.007195,0.007195
87,6601.73,0.5159,0.40353,0.85038,0.94753,0.92383,0.96618,0.86185,0.434,0.31529,0.82929,0.007162,0.007162,0.007162
88,6671.21,0.51311,0.40285,0.84845,0.94023,0.92666,0.96422,0.87399,0.44276,0.31492,0.83144,0.007129,0.007129,0.007129
89,6740.94,0.51126,0.39906,0.8502,0.94105,0.92723,0.96875,0.87768,0.43569,0.31351,0.82975,0.007096,0.007096,0.007096
90,6807.12,0.50744,0.39619,0.84667,0.94234,0.93238,0.97198,0.88004,0.43272,0.309,0.82823,0.007063,0.007063,0.007063
91,6867.41,0.51086,0.39883,0.84962,0.93538,0.91536,0.97065,0.87279,0.43427,0.31165,0.82929,0.00703,0.00703,0.00703
92,6930.18,0.50863,0.39604,0.84771,0.94153,0.91906,0.96849,0.88129,0.43121,0.3057,0.82794,0.006997,0.006997,0.006997
93,7003.32,0.50573,0.39358,0.84747,0.94448,0.92459,0.96843,0.86854,0.43531,0.3098,0.82832,0.006964,0.006964,0.006964
94,7067.94,0.5072,0.39673,0.8493,0.92907,0.9246,0.96608,0.87145,0.42613,0.3035,0.82694,0.006931,0.006931,0.006931
95,7128.15,0.50212,0.38761,0.84677,0.91641,0.92777,0.97413,0.8907,0.42676,0.30117,0.82637,0.006898,0.006898,0.006898
96,7190.85,0.50367,0.38852,0.84676,0.93789,0.92641,0.96753,0.873,0.43167,0.30234,0.82857,0.006865,0.006865,0.006865
97,7259.84,0.50118,0.39326,0.84762,0.94964,0.92234,0.97044,0.88837,0.42507,0.29794,0.82793,0.006832,0.006832,0.006832
98,7333.22,0.50639,0.39614,0.84748,0.94942,0.92587,0.97264,0.88393,0.42758,0.29993,0.82799,0.006799,0.006799,0.006799
99,7402.04,0.49635,0.38,0.84572,0.94403,0.92426,0.97113,0.88721,0.42124,0.29425,0.82623,0.006766,0.006766,0.006766
100,7467.59,0.49329,0.38372,0.84467,0.94814,0.92138,0.9719,0.88346,0.42558,0.29748,0.8262,0.006733,0.006733,0.006733
101,7531.88,0.5024,0.38438,0.8466,0.94855,0.9315,0.96358,0.87856,0.42274,0.29598,0.82613,0.0067,0.0067,0.0067
102,7602.22,0.49461,0.38129,0.84368,0.94093,0.93949,0.96657,0.88544,0.41523,0.29393,0.82427,0.006667,0.006667,0.006667
103,7674.8,0.49543,0.38044,0.84488,0.9434,0.93666,0.97071,0.89365,0.41677,0.29138,0.82489,0.006634,0.006634,0.006634
104,7756.66,0.49593,0.38385,0.8459,0.9493,0.93259,0.97072,0.88983,0.41642,0.28948,0.82391,0.006601,0.006601,0.006601
105,7836.95,0.48785,0.37539,0.84091,0.94624,0.93399,0.96788,0.87794,0.41634,0.29337,0.8243,0.006568,0.006568,0.006568
106,7932.94,0.49218,0.37867,0.84388,0.95264,0.93362,0.97051,0.8769,0.4163,0.2913,0.82542,0.006535,0.006535,0.006535
107,8011.68,0.48672,0.37197,0.84115,0.95662,0.93139,0.96975,0.88037,0.41497,0.2922,0.82572,0.006502,0.006502,0.006502
108,8090.35,0.49269,0.38153,0.84352,0.95312,0.93599,0.96889,0.88355,0.41398,0.29037,0.82495,0.006469,0.006469,0.006469
109,8160.79,0.48829,0.37815,0.84147,0.95293,0.93151,0.97465,0.89488,0.41306,0.28887,0.82473,0.006436,0.006436,0.006436
110,8239.79,0.48587,0.37253,0.84088,0.94111,0.93053,0.97882,0.89544,0.40943,0.28614,0.82347,0.006403,0.006403,0.006403
111,8305.56,0.49222,0.37529,0.84436,0.9466,0.94578,0.97805,0.88239,0.41262,0.28551,0.82339,0.00637,0.00637,0.00637
112,8370.16,0.48859,0.37837,0.84346,0.93813,0.94446,0.97909,0.89234,0.40681,0.28744,0.82263,0.006337,0.006337,0.006337
113,8436.02,0.48506,0.37743,0.84506,0.934,0.94561,0.98788,0.89233,0.40773,0.28355,0.82332,0.006304,0.006304,0.006304
114,8509.5,0.48005,0.37048,0.8417,0.93787,0.9314,0.9769,0.89176,0.40516,0.28512,0.82228,0.006271,0.006271,0.006271
115,8583.68,0.47963,0.36633,0.84019,0.94337,0.93156,0.97242,0.89601,0.40944,0.28719,0.82387,0.006238,0.006238,0.006238
116,8654.68,0.47655,0.36379,0.84014,0.94912,0.93681,0.97841,0.8935,0.40485,0.27976,0.82202,0.006205,0.006205,0.006205
117,8717.81,0.47633,0.36617,0.84006,0.95598,0.92908,0.97955,0.90136,0.40467,0.28149,0.82176,0.006172,0.006172,0.006172
118,8781.23,0.47767,0.36859,0.83955,0.9519,0.93317,0.98193,0.90768,0.40395,0.28442,0.82167,0.006139,0.006139,0.006139
119,8852.27,0.48093,0.36738,0.8432,0.95234,0.93158,0.98182,0.90098,0.40554,0.28824,0.82354,0.006106,0.006106,0.006106
120,8924.09,0.47806,0.36508,0.84012,0.9398,0.92811,0.97908,0.90831,0.4008,0.28566,0.82148,0.006073,0.006073,0.006073
121,8987.82,0.4752,0.35708,0.83831,0.95805,0.94707,0.98634,0.90603,0.39906,0.28341,0.82155,0.00604,0.00604,0.00604
122,9057.78,0.47527,0.36252,0.83695,0.94029,0.94691,0.98233,0.90775,0.39893,0.28274,0.82084,0.006007,0.006007,0.006007
123,9130.42,0.46985,0.35996,0.83789,0.95638,0.95005,0.9865,0.90964,0.39877,0.27824,0.82034,0.005974,0.005974,0.005974
124,9202.7,0.47262,0.35829,0.83892,0.9426,0.94205,0.98762,0.9136,0.39803,0.28021,0.8205,0.005941,0.005941,0.005941
125,9265.48,0.46981,0.3549,0.83755,0.93411,0.94291,0.98661,0.91267,0.39878,0.28056,0.8207,0.005908,0.005908,0.005908
126,9336.68,0.46911,0.3546,0.8367,0.95019,0.94525,0.98696,0.91888,0.3997,0.27864,0.82069,0.005875,0.005875,0.005875
127,9410.61,0.46716,0.35515,0.8354,0.96,0.94984,0.98792,0.90841,0.39954,0.27714,0.82056,0.005842,0.005842,0.005842
128,9474.5,0.4689,0.35683,0.83761,0.95059,0.93337,0.98301,0.90044,0.39722,0.27665,0.82042,0.005809,0.005809,0.005809
129,9540.25,0.46487,0.35379,0.836,0.95416,0.93414,0.9832,0.90616,0.40031,0.27386,0.8217,0.005776,0.005776,0.005776
130,9615.44,0.46809,0.3548,0.83666,0.95589,0.93862,0.98726,0.91425,0.3967,0.27468,0.8216,0.005743,0.005743,0.005743
131,9692.93,0.46508,0.35531,0.83823,0.95212,0.93008,0.97707,0.90307,0.3943,0.27252,0.82028,0.00571,0.00571,0.00571
132,9763.75,0.46758,0.35425,0.83719,0.95351,0.93264,0.97812,0.90309,0.38966,0.27095,0.81905,0.005677,0.005677,0.005677
133,9828.41,0.45962,0.34874,0.83306,0.95066,0.95503,0.98723,0.91761,0.39058,0.27087,0.81859,0.005644,0.005644,0.005644
134,9898.8,0.45947,0.34635,0.836,0.957,0.94728,0.98731,0.91413,0.39081,0.27326,0.81818,0.005611,0.005611,0.005611
135,9969.18,0.46249,0.34763,0.83547,0.95695,0.94905,0.98743,0.90567,0.39163,0.27159,0.81893,0.005578,0.005578,0.005578
136,10042.6,0.46406,0.35217,0.83718,0.95114,0.93384,0.9822,0.90686,0.3935,0.27041,0.81897,0.005545,0.005545,0.005545
137,10105.8,0.45393,0.34549,0.83484,0.9568,0.93366,0.97408,0.89613,0.3906,0.27115,0.81943,0.005512,0.005512,0.005512
138,10175.3,0.45833,0.34623,0.83396,0.96304,0.94786,0.98763,0.91253,0.38871,0.26971,0.81839,0.005479,0.005479,0.005479
139,10247.6,0.46171,0.34488,0.83397,0.95831,0.94565,0.98774,0.91921,0.38854,0.27351,0.81817,0.005446,0.005446,0.005446
140,10315.7,0.4536,0.34127,0.83323,0.95605,0.94717,0.98713,0.91554,0.38863,0.27297,0.81795,0.005413,0.005413,0.005413
141,10376.9,0.45623,0.34183,0.8353,0.94938,0.9484,0.98703,0.91404,0.38633,0.2701,0.81762,0.00538,0.00538,0.00538
142,10439.1,0.45547,0.34429,0.83458,0.93755,0.96062,0.98744,0.91399,0.38684,0.2691,0.81777,0.005347,0.005347,0.005347
143,10511.5,0.44883,0.33787,0.83237,0.95764,0.94958,0.98754,0.91829,0.38446,0.26913,0.81717,0.005314,0.005314,0.005314
144,10585.9,0.4536,0.33912,0.83246,0.9568,0.95157,0.98783,0.91145,0.3844,0.2691,0.81689,0.005281,0.005281,0.005281
145,10661.5,0.45229,0.34119,0.83206,0.954,0.94902,0.98756,0.90979,0.38532,0.26877,0.81723,0.005248,0.005248,0.005248
146,10727.7,0.45027,0.34168,0.83439,0.95244,0.94637,0.9888,0.91391,0.38541,0.26807,0.81796,0.005215,0.005215,0.005215
147,10798.8,0.4485,0.33623,0.83435,0.96336,0.95184,0.98818,0.91234,0.38622,0.26682,0.81834,0.005182,0.005182,0.005182
148,10866.9,0.44758,0.33817,0.8321,0.96218,0.95707,0.98833,0.91591,0.38737,0.26672,0.81842,0.005149,0.005149,0.005149
149,10930.5,0.4483,0.33957,0.83166,0.96035,0.95584,0.98863,0.91668,0.38634,0.26334,0.81773,0.005116,0.005116,0.005116
150,10993.4,0.44484,0.33263,0.83037,0.96001,0.95604,0.98845,0.91472,0.38614,0.26325,0.81749,0.005083,0.005083,0.005083
151,11061.5,0.44469,0.33421,0.8321,0.96356,0.95727,0.98881,0.91247,0.38633,0.26396,0.81784,0.00505,0.00505,0.00505
152,11134.5,0.44648,0.33646,0.83182,0.96014,0.96102,0.98901,0.91129,0.38461,0.26449,0.8167,0.005017,0.005017,0.005017
153,11199.6,0.44978,0.33734,0.83182,0.96456,0.95537,0.98834,0.90828,0.38225,0.26335,0.81613,0.004984,0.004984,0.004984
154,11262.7,0.44924,0.33731,0.8319,0.95659,0.95805,0.98872,0.91911,0.38357,0.26456,0.81639,0.004951,0.004951,0.004951
155,11331,0.44512,0.33341,0.83147,0.95895,0.95375,0.98867,0.9171,0.38282,0.26342,0.81664,0.004918,0.004918,0.004918
156,11404.2,0.44262,0.3317,0.83072,0.95509,0.95648,0.98873,0.92018,0.38194,0.2634,0.81668,0.004885,0.004885,0.004885
157,11476.1,0.43974,0.33135,0.83108,0.95813,0.95338,0.98889,0.92311,0.3813,0.26255,0.81675,0.004852,0.004852,0.004852
158,11540.1,0.43955,0.33097,0.83119,0.96104,0.94866,0.98862,0.92038,0.37834,0.26084,0.8159,0.004819,0.004819,0.004819
159,11602.7,0.43865,0.33037,0.8301,0.95875,0.94913,0.98822,0.91605,0.37675,0.26212,0.81543,0.004786,0.004786,0.004786
160,11668.5,0.43831,0.32793,0.8313,0.9615,0.94591,0.98817,0.91498,0.3778,0.26161,0.8155,0.004753,0.004753,0.004753
161,11741.4,0.44107,0.32951,0.83343,0.95584,0.95162,0.98868,0.91676,0.37749,0.26106,0.8152,0.00472,0.00472,0.00472
162,11811.5,0.43751,0.32595,0.82945,0.9606,0.9505,0.98858,0.91624,0.37816,0.26009,0.81568,0.004687,0.004687,0.004687
